564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
4265,,,1900,4640,,,,,,,,1956.5,,,,,
4265,,,1820,4640,,,,,,,,1876.5,,,,,
4465,,,1750,4640,,,,,,,,1836.5,,,,,
4465,,,1670,4605,,,,,,,,1761.5,,,,,
4465,,,1595,4590,,,,,,,,1701.5,,,,,
4465,,,1525,4530,,,,,,,,1621.5,,,,,
4485,,,1450,4755,,,,,,,,1586.5,,,,,
4485,,,1410,4685,,,,,,,,1501.5,,,,,
5835,,,1380,4645,,,,,,,,1631.5,,,,,
5910,,,1380,4560,,,,,,,,1616.5,,,,,
5860,,,1680,4505,,,,,,,,1616.5,,,,,
5785,,,2275,4440,,,,,,,,1616.5,,,,,
5710,,,2235,4420,,,,,,,,1601.5,,,,,
5650,,,2185,4335,,,,,,,,1536.5,,,,,
5575,,,2160,4300,,,,,,,,1456.5,,,,,
5700,,,2470,4300,,,,,,,,1386.5,,,,,
6295,,,2505,4300,,,,,,,,1311.5,,,,,
6225,,,2470,4300,,,,,,,,1271.5,,,,,
6150,,,2435,4300,,,,,,,,1216.5,,,,,
6115,,,2345,4300,,,,,,,,1166.5,,,,,
6040,,,2275,4300,,,,,,,,1086.5,,,,,
5995,,,2230,4300,,,,,,,,1011.5,,,,,
6000,,,2180,4300,,,,,,,,991.5,,,,,
6000,,,2090,4300,,,,,,,,1096.5,,,,,
6000,,,2020,4300,,,,,,,,1061.5,,,,,
6000,,,1990,4300,,,,,,,,1011.5,,,,,
6000,,,2040,4300,,,,,,,,931.5,,,,,
6000,,,1950,4300,,,,,,,,981.5,,,,,
6000,,,1975,4300,,,,,,,,941.5,,,,,
6000,,,1900,4300,,,,,,,,906.5,,,,,
,,,1900,4300,,,,,,,,846.5,,,,,
,,,2170,4300,,,,,,,,886.5,,,,,
,,,2170,4300,,,,,,,,821.5,,,,,
,,,2180,4380,,,,,,,,751.5,,,,,
,,,2205,4440,,,,,,,,736.5,,,,,
,,,2220,4555,,,,,,,,676.5,,,,,
,,,2175,4580,,,,,,,,626.5,,,,,
,,,2110,4630,,,,,,,,621.5,,,,,
,,,2100,4630,,,,,,,,571.5,,,,,
,,,2095,4630,,,,,,,,561.5,,,,,
,,,2065,4700,,,,,,,,511.5,,,,,
,,,2065,4700,,,,,,,,1051.5,,,,,
,,,2075,4770,,,,,,,,1536.5,,,,,
,,,2045,4970,,,,,,,,1471.5,,,,,
,,,2065,5170,,,,,,,,1441.5,,,,,
,,,1995,5170,,,,,,,,1396.5,,,,,
,,,1940,5970,,,,,,,,1346.5,,,,,
,,,2035,6105,,,,,,,,1701.5,,,,,
,,,1960,6250,,,,,,,,1626.5,,,,,
,,,1980,6250,,,,,,,,1551.5,,,,,
,,,1935,6250,,,,,,,,1546.5,,,,,
,,,1925,6250,,,,,,,,1876.5,,,,,
,,,1870,,,,,,,,,1841.5,,,,,
,,,1825,,,,,,,,,1771.5,,,,,
,,,1760,,,,,,,,,1736.5,,,,,
,,,1685,,,,,,,,,1656.5,,,,,
,,,1625,,,,,,,,,1606.5,,,,,
,,,1540,,,,,,,,,1591.5,,,,,
,,,1465,,,,,,,,,1961.5,,,,,
,,,1390,,,,,,,,,1911.5,,,,,
,,,1330,,,,,,,,,1836.5,,,,,
,,,1305,,,,,,,,,1841.5,,,,,
,,,1230,,,,,,,,,1766.5,,,,,
,,,1155,,,,,,,,,1851.5,,,,,
